DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/15/2015,5:00,,,40.7548668,-73.852537,"(40.7548668, -73.852537)",,,,0,0,0,0,0,0,0,0,Outside Car Distraction,Fatigued/Drowsy,,,,3316047,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/15/2015,4:37,,,,,,CONCOURSE VILLAGE WEST,EAST 156 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,3316340,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,
10/15/2015,4:30,BROOKLYN,11211,40.7140707,-73.9543399,"(40.7140707, -73.9543399)",METROPOLITAN AVENUE,MARCY AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3316526,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/15/2015,4:25,BROOKLYN,11215,40.6778345,-73.9882541,"(40.6778345, -73.9882541)",CARROLL STREET,NEVINS STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3315857,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/15/2015,3:16,BROOKLYN,11220,40.6339615,-74.0147538,"(40.6339615, -74.0147538)",65 STREET,7 AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,,3315781,OTHER,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
10/15/2015,3:15,,,40.7275681,-73.9292693,"(40.7275681, -73.9292693)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3317663,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
10/15/2015,3:14,MANHATTAN,10019,40.7634847,-73.9889465,"(40.7634847, -73.9889465)",WEST 50 STREET,9 AVENUE,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3315549,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/15/2015,3:00,,,,,,,,PARKING LOT OF 142-02 20 AVE.,1,0,1,0,0,0,0,0,Unspecified,,,,,3316021,SPORT UTILITY / STATION WAGON,,,,
10/15/2015,3:00,,,,,,BRUCKNER BOULEVARD,BRYANT AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3315646,PASSENGER VEHICLE,,,,
10/15/2015,2:55,BRONX,10452,40.8427531,-73.9247706,"(40.8427531, -73.9247706)",MERRIAM AVENUE,WEST 171 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3315666,OTHER,SPORT UTILITY / STATION WAGON,,,
10/15/2015,2:50,MANHATTAN,10023,40.7779733,-73.982156,"(40.7779733, -73.982156)",AMSTERDAM AVENUE,WEST 71 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3315582,BUS,OTHER,,,
10/15/2015,23:35,,,40.7383414,-73.8048406,"(40.7383414, -73.8048406)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3317739,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/15/2015,23:30,,,,,,,,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3316349,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/15/2015,23:20,,,40.8018878,-73.9734345,"(40.8018878, -73.9734345)",,,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Other Vehicular,Unspecified,,,3316271,LIVERY VEHICLE,SPORT UTILITY / STATION WAGON,LIVERY VEHICLE,,
